date,description,amount
2025-01-01,STARBUCKS 1234,419.98
2025-01-02,Door Dash,92.5
2025-01-03,UBR* Minneapolis,132.23
2025-01-04,UBER TECHNOLOGIES,369.05
2025-01-05,DRDSH*Meal,320.68
2025-01-06,UBER TECHNOLOGIES,348.27
2025-01-07,UBER *TRIP,499.39
2025-01-08,DD*MN*Food,351.65
2025-01-09,TRGT*Purchase,425.78
2025-01-10,Starbcks,340.92
2025-01-11,TARGET.COM,351.26
2025-01-12,TARGET  ,375.88
2025-01-13,DOORDASH*ORDER,266.06
2025-01-14,STARBK,215.14
2025-01-15,WMT*Online,491.6
2025-01-16,TRGT*Purchase,273.91
2025-01-17,TRGT*Purchase,463.54
2025-01-18,SBX Coffee,173.7
2025-01-19,TARGET.COM,37.55
2025-01-20,DoorDash 55521,125.29
2025-01-21,DASHER*MN,473.82
2025-01-22,Amazon.com/bill,65.0
2025-01-23,AmazonPrime*,232.59
2025-01-24,TARGET STORES #481,42.22
2025-01-25,Walmart.com,232.9
2025-01-26,WMT*Online,258.06
2025-01-27,TGT*Retail,83.83
2025-01-28,UBER TripReceipt,239.36
2025-01-29,Wal Mart,320.28
2025-01-30,Amazon Digital,218.67
2025-01-31,AmazonPrime*,324.92
2025-02-01,DRDSH*Meal,247.53
2025-02-02,AMZ*Prime,37.81
2025-02-03,UBER TripReceipt,153.39
2025-02-04,Uber Trip 2025,143.22
2025-02-05,TAR* Minneapolis MN,201.66
2025-02-06,DRD*Order,392.4
2025-02-07,Wal Mart,452.07
2025-02-08,TARGET #0021,317.23
2025-02-09,WALMART SUPERCENTER 123,476.7
2025-02-10,DORDSH,200.51
2025-02-11,Door Dash,56.63
2025-02-12,AMAZON   ,424.41
2025-02-13,UBER*MN*,340.28
2025-02-14,UBR RIDE,276.66
2025-02-15,AMAZON   ,429.28
2025-02-16,DoorDash 55521,492.44
2025-02-17,UBER TECHNOLOGIES,405.81
2025-02-18,DD*MN*Food,221.73
2025-02-19,Amazon.com/bill,391.19
